2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Jiajun (23)	1 - 06:56'2	Zhu C. (05)	Pass	-	-	-	-	Reception	-	18.7	18.7	00:01'7	39.6	48.8	21.5	-55.53	-	D 1	C 2
Zhu C. (05)	1 - 06:57'9	Zhu C. (05)	Reception	-	-	-	-	Pass	-	2.5	2.5	00:01'3	6.8	56.8	25.4	-72.7	-	C 2	C 2
Zhu C. (05)	1 - 06:59'2	Yunqiu (16)	Pass	-	-	-	-	Reception	-	40.3	40.3	00:02'2	66	55.7	23.9	-75.36	-	C 2	D 4
Yunqiu (16)	1 - 07:01'4	Yunqiu (16)	Reception	-	-	-	-	Running with ball	-	1.3	1.3	00:01'0	4.8	52.9	31.9	60.34	-	D 4	D 4
Yunqiu (16)	1 - 07:02'4	Yunqiu (16)	Running with ball	-	-	-	-	Pass	-	0.7	0.7	00:00'6	4.2	52	29.8	59.34	-	D 4	D 4
Yunqiu (16)	1 - 07:03'0	Shin Wook (20)	Pass	-	-	-	-	Reception	-	41.8	41.8	00:03'0	50.1	51.3	28.9	59.04	-	D 4	F 2
Shin Wook (20)	1 - 07:06'0	Shin Wook (20)	Reception	-	Ground duel	-	-	Shot not on target	-	0.1	0.1	00:00'4	0.9	14.8	12.8	-77.55	-	F 2	F 2
Shin Wook (20)	1 - 07:06'4	Chen (25)	Shot not on target	Gaining(25.Che) - Gaining(27.Lu)	Tackle	Right foot	-	Neutral contact	-	43.2	1.3	00:00'2	23.5	14.8	12.2	-77.47	Out > 2m	F 2	F 2
Chen (25)	1 - 07:06'6	Lu Y. (27)	Neutral contact	Gaining(27.Lu)	-	-	-	Neutral contact	-	41.9	24.7	00:03'8	23.4	90.6	11.7	72.76	-	F 2	F 3
Lu Y. (27)	1 - 07:10'4	-	Neutral contact	-	Ground duel	-	-	Out for throw-in	-	17.1	17.1	00:03'0	20.6	101.8	17.6	-14.99	-	F 3	F 4
Shilin (37)	1 - 07:37'5	Han Xuan (04)	Pass	-	Throw-in	Two hands	-	Clearance	Indiv. loss of poss.	23	23	00:01'3	63.8	36	30.9	19.14	-	F 4	F 3
Han Xuan (04)	1 - 07:38'8	Zhong (30)	Clearance	-	-	Header	-	Pass	Indiv. gain of poss.	13.9	13.9	00:01'8	27.8	97.8	15.1	-34.96	-	F 3	E 3
Zhong (30)	1 - 07:40'6	Zhu C. (05)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	22.9	22.9	00:02'5	32.9	85.7	4.2	-79.77	-	E 3	D 3
Zhu C. (05)	1 - 07:43'1	Jiajun (23)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	32	32	00:04'1	28.1	42.1	13.4	88.91	-	D 3	E 1
Jiajun (23)	1 - 07:47'2	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	1.8	1.8	00:00'7	9.4	41.1	22.1	-45.89	-	E 1	E 1
Jiajun (23)	1 - 07:47'9	Jiajun (23)	Running with ball	-	-	-	-	Pass	-	1.9	1.9	00:00'7	9.7	39.6	21.9	-44.39	-	E 1	E 1
Jiajun (23)	1 - 07:48'6	Yunding C. (28)	Pass	-	-	-	-	Reception	-	5.4	5.4	00:01'1	17.8	37.8	21.3	-43.39	-	E 1	E 1
Yunding C. (28)	1 - 07:49'7	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	2.4	2.4	00:00'7	12.2	38.3	25.3	-35.22	-	E 1	E 1
Yunding C. (28)	1 - 07:50'4	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	0.8	0.8	00:00'5	5.6	36.2	24.1	-33.51	-	E 1	E 1
Yunding C. (28)	1 - 07:50'9	Yunding C. (28)	Running with ball	-	-	-	-	Cross	-	1.5	1.5	00:00'7	7.6	36	23.1	-34.71	-	E 1	E 1
Yunding C. (28)	1 - 07:51'6	Chen (25)	Cross	-	-	-	-	Clearance	Indiv. loss of poss.	23.4	23.4	00:01'1	76.4	35.4	21.9	-36.84	-	E 1	F 2
Chen (25)	1 - 07:52'7	Karanga (37)	Clearance	-	-	Header	-	Pass	Indiv. gain of poss.	25.3	25.3	00:01'9	47.9	93.9	10.9	58.09	-	F 2	D 3
Karanga (37)	1 - 07:54'6	Jinhao (03)	Pass	-	Air duel	Header	-	Pass	Indiv. loss of poss.	13.6	13.6	00:02'9	16.9	69.4	14	-89.52	-	D 3	D 3
Jinhao (03)	1 - 07:57'5	Yunqiu (16)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	13.1	13.1	00:01'6	29.4	46.4	18.7	77.67	-	D 3	D 4
Yunqiu (16)	1 - 07:59'1	Yunqiu (16)	Reception	-	-	-	-	Running with ball	-	1.4	1.4	00:00'6	8.5	44.8	23.1	61.32	-	D 4	D 4
Yunqiu (16)	1 - 07:59'7	Yunqiu (16)	Running with ball	-	-	-	-	Running with ball	-	3.1	3.1	00:01'1	10.1	44.3	23.3	59.61	-	D 4	D 4
Yunqiu (16)	1 - 08:00'8	Yunqiu (16)	Running with ball	-	-	-	-	Running with ball	-	2.5	2.5	00:00'7	13	42.8	24.5	56.05	-	D 4	E 4
Yunqiu (16)	1 - 08:01'5	Yunqiu (16)	Running with ball	-	-	-	-	Cross	-	5.5	5.5	00:01'2	16.6	41	25.1	53.63	-	E 4	E 4
Yunqiu (16)	1 - 08:02'7	Han Xuan (04)	Cross	Gaining(04.Han)	-	-	-	Neutral clearance	-	44.4	26.6	00:01'5	63.9	37.6	25.8	47.26	-	E 4	F 3
Han Xuan (04)	1 - 08:04'2	Shilin (37)	Neutral clearance	-	-	Header	-	Reception	-	17.7	17.7	00:01'2	53.2	92.5	11.8	-74.48	-	F 3	E 3
Shilin (37)	1 - 08:05'4	Shilin (37)	Reception	-	-	-	-	Running with ball	-	3.9	3.9	00:01'2	11.6	29.3	17.9	53.33	-	E 3	E 3
Shilin (37)	1 - 08:06'6	Shilin (37)	Running with ball	-	-	-	-	Pass	-	1.7	1.7	00:00'6	10.3	29.2	15.6	60.89	-	E 3	E 3
Shilin (37)	1 - 08:07'2	Zhu C. (05)	Pass	-	-	-	-	Pass	-	22.1	22.1	00:01'7	46.7	29.4	15.1	64.22	-	E 3	D 2
Zhu C. (05)	1 - 08:08'9	Jinhao (03)	Pass	-	-	-	-	Reception	-	17.2	17.2	00:02'1	29.5	43.4	16.2	-88.15	-	D 2	C 3
Jinhao (03)	1 - 08:11'0	Jinhao (03)	Reception	-	-	-	-	Pass	-	0.6	0.6	00:00'7	3	55.4	26.9	76.63	-	C 3	C 3
Jinhao (03)	1 - 08:11'7	Jiang S. (04)	Pass	-	-	-	-	Reception	-	17.4	17.4	00:01'3	48.1	56	26	76.18	-	C 3	D 4
Jiang S. (04)	1 - 08:13'0	Jiang S. (04)	Reception	-	-	-	-	Cross	-	3.3	3.3	00:01'6	7.4	50.2	28.2	59.45	-	D 4	D 4
Jiang S. (04)	1 - 08:14'6	Yan Wu (17)	Cross	-	-	-	-	High catch gk	Indiv. loss of poss.	44.3	44.3	00:02'6	61.3	50.2	27.6	55.71	-	D 4	F 2
Yan Wu (17)	1 - 08:17'2	Yan Wu (17)	High catch gk	-	-	Two hands	-	Pass	Indiv. gain of poss.	6.2	6.2	00:09'2	2.4	95.1	19.5	74.74	-	F 2	F 3
Yan Wu (17)	1 - 08:26'4	Ivo (29)	Pass	-	-	Two hands	-	Reception	-	33	33	00:02'5	47.5	92.3	35.8	-77.57	-	F 3	E 4
Ivo (29)	1 - 08:28'9	Ivo (29)	Reception	-	-	-	-	Running with ball	-	2.9	2.9	00:01'9	5.5	84.6	38.6	-39.53	-	E 4	E 4
Ivo (29)	1 - 08:30'8	Ivo (29)	Running with ball	-	-	-	-	Pass	-	2.9	2.9	00:01'5	6.9	83.5	35.4	-42.27	-	E 4	E 4
Ivo (29)	1 - 08:32'3	Moreno (10)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	12.7	12.7	00:00'9	50.6	81.3	31.8	-46.24	-	E 4	D 3
Moreno (10)	1 - 08:33'2	Jiang S. (04)	Pass	-	-	-	-	Pass	Indiv. gain of poss.	9	9	00:00'8	40.3	40.3	19	64.45	-	D 3	D 3
Jiang S. (04)	1 - 08:34'0	Zhong (30)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	15	15	00:02'1	25.8	47.8	10.4	70.85	-	D 3	D 3
Zhong (30)	1 - 08:36'1	Zhong (30)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	2.3	2.3	00:01'0	8.4	62.9	11	-88.64	-	D 3	D 2
Zhong (30)	1 - 08:37'1	Zhong (30)	Running with ball	-	-	-	-	Pass	-	3	3	00:00'8	13.7	61.7	12.9	88.68	-	D 2	D 2
Zhong (30)	1 - 08:37'9	Du C. (07)	Pass	-	-	-	-	Pass	-	30.9	30.9	00:03'0	37.1	59.6	13.5	86.1	-	D 2	C 1
Du C. (07)	1 - 08:40'9	Jinhao (03)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	37.5	37.5	00:02'1	64.4	52.8	28.5	55.8	-	C 1	B 3
Jinhao (03)	1 - 08:43'0	Ivo (29)	Pass	-	-	Header	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	14.2	14.2	00:02'2	23.2	84	14	89.45	-	B 3	B 3
Ivo (29)	1 - 08:45'2	Zhu C. (05)	Pass	-	-	-	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	15.6	15.6	00:01'8	31.2	33.9	9.1	-76.87	-	B 3	B 3
Zhu C. (05)	1 - 08:47'0	Zhu C. (05)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	4	4	00:01'0	14.5	85.6	15	89.7	-	B 3	B 3
Zhu C. (05)	1 - 08:48'0	Zhu C. (05)	Running with ball	-	-	-	-	Running with ball	-	5.1	5.1	00:00'9	20.3	81.6	12.5	88.78	-	B 3	B 3
Zhu C. (05)	1 - 08:48'9	Zhu C. (05)	Running with ball	-	-	-	-	Pass	-	6.6	6.6	00:01'0	23.7	76.9	11.4	85.12	-	B 3	B 3
Zhu C. (05)	1 - 08:49'9	Moreno (10)	Pass	-	-	-	-	Reception	-	28.3	28.3	00:01'8	56.7	71.7	12	79.88	-	B 3	D 4
Moreno (10)	1 - 08:51'7	Moreno (10)	Reception	-	-	-	-	Running with ball	-	1.2	1.2	00:00'7	6.3	55.9	25.1	63.76	-	D 4	D 4
Moreno (10)	1 - 08:52'4	Moreno (10)	Running with ball	-	-	-	-	Running with ball	-	1.3	1.3	00:01'0	4.8	54.9	23.2	63.01	-	D 4	D 4
Moreno (10)	1 - 08:53'4	Moreno (10)	Running with ball	-	-	-	-	Pass	-	0.9	0.9	00:00'6	5.4	53.6	20.3	63.53	-	D 4	D 4
Moreno (10)	1 - 08:54'0	Jiajun (23)	Pass	-	-	-	-	Reception	-	47.2	47.2	00:03'0	56.6	53.2	18.9	64.4	-	D 4	C 1
Jiajun (23)	1 - 08:57'0	Jiajun (23)	Reception	-	-	-	-	Pass	-	5.7	5.7	00:01'2	17	60.1	27.6	-64.6	-	C 1	D 1
Jiajun (23)	1 - 08:58'2	Yunding C. (28)	Pass	-	-	-	-	Reception	-	9.3	9.3	00:01'4	23.9	57.4	27.9	-62.05	-	D 1	D 1
Yunding C. (28)	1 - 08:59'6	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	4.8	4.8	00:01'2	14.4	52.4	28.3	-53.85	-	D 1	D 1
Yunding C. (28)	1 - 09:00'8	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	5.2	5.2	00:00'9	20.8	48.5	26.4	-50.6	-	D 1	E 1
Yunding C. (28)	1 - 09:01'7	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.9	2.9	00:00'5	21.1	45.4	26.2	-45.54	-	E 1	E 1
Yunding C. (28)	1 - 09:02'2	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.4	2.4	00:00'4	21.6	43.7	26	-42.49	-	E 1	E 1
Yunding C. (28)	1 - 09:02'6	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	3.7	3.7	00:00'5	26.7	42.1	25.5	-40.08	-	E 1	E 1
Yunding C. (28)	1 - 09:03'1	Jiajun (23)	Pass	-	-	-	-	Pass	-	3.3	3.3	00:02'3	5.1	39.6	25.1	-36.18	-	E 1	E 1
Jiajun (23)	1 - 09:05'4	Qian J. (26)	Pass	-	-	-	-	Pass	-	19.9	19.9	00:03'0	23.9	39.1	21.2	-40.86	-	E 1	D 2
Qian J. (26)	1 - 09:08'4	Zhu C. (05)	Pass	-	-	-	-	Pass	-	19	19	00:02'4	28.4	46	16	-66.28	-	D 2	C 1
Zhu C. (05)	1 - 09:10'8	Yan Wu (17)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	60	60	00:05'4	40	64.8	31	-62.57	-	C 1	F 3
Yan Wu (17)	1 - 09:16'2	Yan Wu (17)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	2.3	2.3	00:01'2	7	96.7	33	-50.93	-	F 3	F 3
Yan Wu (17)	1 - 09:17'4	Yan Wu (17)	Running with ball	-	-	-	-	Pass	-	2.1	2.1	00:01'2	6.2	98.1	35.8	-39.36	-	F 3	F 3
Yan Wu (17)	1 - 09:18'6	Lu Y. (27)	Pass	-	-	-	-	Reception	-	31.1	31.1	00:02'6	43	96.6	36	-41.11	-	F 3	E 4
Lu Y. (27)	1 - 09:21'2	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	1.6	1.6	00:00'7	8.1	75.8	31.1	-51.14	-	E 4	D 4
Lu Y. (27)	1 - 09:21'9	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	8.3	8.3	00:02'5	12	74.6	30.8	-51.83	-	D 4	D 4
Lu Y. (27)	1 - 09:24'4	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	1.9	1.9	00:00'8	8.6	67.1	27.3	-57.15	-	D 4	D 4
Lu Y. (27)	1 - 09:25'2	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	4	4	00:02'8	5.1	65.2	25.5	-59.11	-	D 4	D 4
Lu Y. (27)	1 - 09:28'0	Zhou D. (08)	Pass	-	-	-	-	Pass	-	14.2	14.2	00:01'5	34.1	62.4	21.4	-63.39	-	D 4	D 3
Zhou D. (08)	1 - 09:29'5	Lu Y. (27)	Pass	-	-	-	-	Reception	-	15.5	15.5	00:01'9	29.4	58.7	14.1	-78.6	-	D 3	D 4
Lu Y. (27)	1 - 09:31'4	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	1.7	1.7	00:00'7	8.7	58.8	21.2	-64.65	-	D 4	C 4
Lu Y. (27)	1 - 09:32'1	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	5	5	00:01'7	10.6	57.8	21.4	-64.14	-	C 4	C 4
Lu Y. (27)	1 - 09:33'8	Karanga (37)	Pass	-	-	-	-	Reception	-	29.9	29.9	00:02'9	37.1	54.2	20.3	-60.6	-	C 4	B 4
Karanga (37)	1 - 09:36'7	Karanga (37)	Reception	-	-	-	-	Running with ball	-	3.4	3.4	00:00'8	15.2	36.4	24.2	-29.24	-	B 4	A 4
Karanga (37)	1 - 09:37'5	-	Running with ball	-	-	-	-	Out for throw-in	Indiv. loss of poss.	12.4	12.4	00:00'7	63.6	36	23.9	-23.93	-	A 4	B 4
Yunqiu (16)	1 - 09:53'1	Shin Wook (20)	Pass	-	Throw-in	Two hands	-	Pass	-	18.5	18.5	00:01'9	35	86.5	26	36.13	-	B 4	C 4
Shin Wook (20)	1 - 09:55'0	Chen (25)	Pass	-	-	Header	-	Clearance	Indiv. loss of poss.	17.9	17.9	00:02'5	25.8	68.1	12.9	57.31	-	C 4	D 3
Chen (25)	1 - 09:57'5	Jinhao (03)	Clearance	-	-	-	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	26.5	26.5	00:01'5	63.6	58.1	14.3	-72.55	-	D 3	B 3
Jinhao (03)	1 - 09:59'0	Qian J. (26)	Pass	-	Ground duel	-	-	Pass	Indiv. gain of poss.	15.7	15.7	00:01'8	31.4	77.3	13.7	60.93	-	B 3	C 3
Qian J. (26)	1 - 10:00'8	Zhou D. (08)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	6.4	6.4	00:01'4	16.5	62.6	4.9	79.18	-	C 3	C 3
Zhou D. (08)	1 - 10:02'2	Zhou D. (08)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	0.3	0.3	00:00'7	1.5	49.9	8.7	-81.01	-	C 3	C 3
Zhou D. (08)	1 - 10:02'9	Ivo (29)	Pass	-	-	-	-	Reception	-	9.3	9.3	00:01'1	30.6	49.9	8.9	-81.35	-	C 3	C 3
Ivo (29)	1 - 10:04'0	Ivo (29)	Reception	-	-	-	-	Running with ball	-	0.9	0.9	00:00'6	5.5	45.1	3	-71.65	-	C 3	C 3
Ivo (29)	1 - 10:04'6	Ivo (29)	Running with ball	-	-	-	-	Running with ball	-	1.6	1.6	00:00'6	9.4	44.8	4.6	-70.55	-	C 3	C 3
Ivo (29)	1 - 10:05'2	Ivo (29)	Running with ball	-	-	-	-	Pass	-	1.9	1.9	00:00'7	9.6	44.6	6.9	-68.56	-	C 3	C 3
Ivo (29)	1 - 10:05'9	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	10	10	00:00'9	40.1	44.8	9	-66.18	-	C 3	B 3
Bassogog C. (10)	1 - 10:06'8	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	3.3	3.3	00:01'0	11.8	35.6	11.6	-60.55	-	B 3	B 3
Bassogog C. (10)	1 - 10:07'8	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	2.5	2.5	00:00'7	12.9	34.6	12.6	-55.48	-	B 3	B 4
Bassogog C. (10)	1 - 10:08'5	-	Running with ball	-	-	-	-	Foul - dir. free-kick	-	2.5	2.5	00:00'7	13	33.3	12.6	-51.82	-	B 4	B 4
Ivo (29)	1 - 11:05'5	Zhu C. (05)	Cross	Gaining(05.Zhu)	Direct free-kick	Left foot	Straight	Neutral clearance	-	48.3	29.9	00:01'5	71.7	31.9	12.8	-51.37	-	B 3	A 2
Zhu C. (05)	1 - 11:07'0	Bassogog C. (10)	Neutral clearance	-	-	Header	-	Reception	-	18.4	18.4	00:03'4	19.5	97.6	17.3	-59.6	-	A 2	A 1
Bassogog C. (10)	1 - 11:10'4	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	4.3	4.3	00:00'9	17.3	22.7	26.9	9.13	-	A 1	A 1
Bassogog C. (10)	1 - 11:11'3	Bassogog C. (10)	Running with ball	-	-	-	-	Pass	-	3.3	3.3	00:00'7	17	26.9	28.4	6.62	-	A 1	A 1
Bassogog C. (10)	1 - 11:12'0	Du C. (07)	Pass	-	-	-	-	Reception	-	24	24	00:02'0	43.1	30.2	29.1	7.43	-	A 1	B 1
Du C. (07)	1 - 11:14'0	Du C. (07)	Reception	-	-	-	-	Cross	-	1	1	00:01'1	3.3	39.5	21.6	44.69	-	B 1	B 1
Du C. (07)	1 - 11:15'1	Qian J. (26)	Cross	Gaining(26.Qia)	-	-	-	Neutral contact	-	32.5	6.6	00:00'2	118.9	38.8	22.8	43.75	-	B 1	B 1
Qian J. (26)	1 - 11:15'3	Lu Y. (27)	Neutral contact	-	-	Chest	-	Reception	-	25.9	25.9	00:01'9	49	87	18.8	-41.49	-	B 1	B 3
Lu Y. (27)	1 - 11:17'2	Lu Y. (27)	Reception	-	-	-	-	Shot on target	-	5.4	5.4	00:01'0	19.4	25	7.3	-86.79	-	B 3	B 3
Lu Y. (27)	1 - 11:18'2	Shuai (27)	Shot on target	Gaining(27.Shu)	-	Left foot	-	High deflection gk	-	25.5	20.2	00:00'8	91	22.2	10.9	-75.65	In-Up (Middle)	B 3	A 3
Shuai (27)	1 - 11:19'0	-	High deflection gk	-	-	Two hands	-	Out for corner	-	5.2	5.2	00:00'8	23.6	103.4	23.3	40.1	-	A 3	A 2
Ivo (29)	1 - 11:50'0	Moreno (10)	Cross	Gaining(10.Mor)	Corner	Left foot	-	Neutral clearance	-	59.8	32.6	00:01'8	65.2	33.6	41.9	0.17	-	A 1	A 2
Moreno (10)	1 - 11:51'8	Bassogog C. (10)	Neutral clearance	-	-	Header	-	Reception	-	27.2	27.2	00:03'7	26.5	100.5	15.3	-73.89	-	A 2	B 2
Bassogog C. (10)	1 - 11:55'5	Bassogog C. (10)	Reception	-	-	Chest	-	Pass	-	8.4	8.4	00:02'3	13.1	31.8	16.3	66.49	-	B 2	C 2
Bassogog C. (10)	1 - 11:57'8	Shangyuan (26)	Pass	-	-	-	-	Reception	-	20.3	20.3	00:02'6	28.1	38.8	17.2	74.14	-	C 2	D 2
Shangyuan (26)	1 - 12:00'4	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	0.8	0.8	00:00'6	4.6	55	25.4	89.31	-	D 2	D 3
Shangyuan (26)	1 - 12:01'0	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	1.6	1.6	00:01'4	4	55.3	25.4	-89.88	-	D 3	D 2
Shangyuan (26)	1 - 12:02'4	Shangyuan (26)	Running with ball	-	-	-	-	Running with ball	-	1.1	1.1	00:00'8	5	54.9	25.4	88.4	-	D 2	D 2
Shangyuan (26)	1 - 12:03'2	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	7.6	7.6	00:02'1	13	53.9	24.8	87.87	-	D 2	C 3
Shangyuan (26)	1 - 12:05'3	Chen (25)	Pass	-	-	-	-	Pass	-	33.3	33.3	00:02'1	57	50	21	-84.84	-	C 3	B 2
Chen (25)	1 - 12:07'4	Shuai (27)	Pass	-	-	Header	-	High catch gk	Indiv. loss of poss.	17.7	17.7	00:02'7	23.6	23.9	16.6	60.43	-	B 2	A 2
Shuai (27)	1 - 12:10'1	Shuai (27)	High catch gk	-	-	Two hands	-	Pass	Indiv. gain of poss.	6.5	6.5	00:06'8	3.4	102.5	21.5	-15.47	-	A 2	A 2
Shuai (27)	1 - 12:16'9	Zhu C. (05)	Pass	-	-	Two hands	-	Reception	-	11	11	00:01'4	28.2	96.4	36.2	-46.64	-	A 2	B 2
Zhu C. (05)	1 - 12:18'3	Zhu C. (05)	Reception	-	-	-	-	Running with ball	-	2.2	2.2	00:01'0	8	88.1	30.4	-51.11	-	B 2	B 2
Zhu C. (05)	1 - 12:19'3	Zhu C. (05)	Running with ball	-	-	-	-	Pass	-	2.2	2.2	00:00'9	8.8	86	29.5	-53.91	-	B 2	B 2
Zhu C. (05)	1 - 12:20'2	Yunding C. (28)	Pass	-	-	-	-	Reception	-	22.6	22.6	00:01'6	50.8	83.9	28.6	-56.31	-	B 2	C 1
Yunding C. (28)	1 - 12:21'8	Yunding C. (28)	Reception	-	-	-	-	Pass	-	0.3	0.3	00:00'7	1.5	73.9	27.1	-50.6	-	C 1	C 1
Yunding C. (28)	1 - 12:22'5	Jiajun (23)	Pass	-	-	-	-	Reception	-	7.5	7.5	00:01'2	22.4	73.6	27.5	-50.82	-	C 1	C 1
Jiajun (23)	1 - 12:23'7	Jiajun (23)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:00'9	1.8	72.3	24.2	-56.89	-	C 1	C 1
Jiajun (23)	1 - 12:24'6	Jiang S. (04)	Pass	-	-	-	-	Reception	-	12.1	12.1	00:01'2	36.2	72	25.1	-56.95	-	C 1	C 2
Jiang S. (04)	1 - 12:25'8	Jiang S. (04)	Reception	-	-	-	-	Running with ball	-	1.3	1.3	00:01'0	4.5	70.9	23.2	-70.74	-	C 2	C 2
Jiang S. (04)	1 - 12:26'8	Jiang S. (04)	Running with ball	-	-	-	-	Pass	-	2.5	2.5	00:01'0	9	70.1	23.6	-72.63	-	C 2	C 2
Jiang S. (04)	1 - 12:27'8	Jinhao (03)	Pass	-	-	-	-	Reception	-	16.1	16.1	00:01'5	38.6	69.6	24.1	-76.38	-	C 2	B 3
Jinhao (03)	1 - 12:29'3	Jinhao (03)	Reception	-	-	-	-	Running with ball	-	3.4	3.4	00:01'5	8.1	74.3	31.2	77.98	-	B 3	B 3
Jinhao (03)	1 - 12:30'8	Jinhao (03)	Running with ball	-	-	-	-	Pass	-	1.9	1.9	00:01'3	5.3	74	32	72.66	-	B 3	B 3
Jinhao (03)	1 - 12:32'1	Zhu C. (05)	Pass	-	-	-	-	Reception	-	19.7	19.7	00:01'4	50.8	73.5	32.2	70.14	-	B 3	B 2
Zhu C. (05)	1 - 12:33'5	Zhu C. (05)	Reception	-	-	-	-	Pass	-	2.7	2.7	00:01'0	9.7	71.8	30.6	-76.61	-	B 2	C 2
Zhu C. (05)	1 - 12:34'5	Jiajun (23)	Pass	-	-	-	-	Reception	-	25	25	00:01'9	47.3	70.4	29.4	-74.03	-	C 2	C 1
Jiajun (23)	1 - 12:36'4	Jiajun (23)	Reception	-	-	-	-	Pass	-	4.2	4.2	00:01'3	11.6	61.8	28.3	-59.69	-	C 1	D 1
Jiajun (23)	1 - 12:37'7	Yunding C. (28)	Pass	-	-	-	-	Reception	-	9.6	9.6	00:01'0	34.6	58.7	26.1	-58.67	-	D 1	D 1
Yunding C. (28)	1 - 12:38'7	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	0.7	0.7	00:00'8	3	51.6	23.6	-51.84	-	D 1	D 1
Yunding C. (28)	1 - 12:39'5	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	0.2	0.2	00:00'3	2.7	52.2	23.3	-51.53	-	D 1	D 1
Yunding C. (28)	1 - 12:39'8	Zhong (30)	Pass	Gaining(30.Zho)	-	-	-	Neutral contact	-	6.4	1.5	00:00'3	18	52.5	23.2	-51.58	-	D 1	D 1
Zhong (30)	1 - 12:40'1	-	Neutral contact	-	-	-	-	Out for throw-in	-	4.9	4.9	00:00'9	19.6	70.3	22.4	53.15	-	D 1	D 1
Jiajun (23)	1 - 12:48'1	Yunding C. (28)	Pass	-	Throw-in	Two hands	-	Pass	-	6.9	6.9	00:01'3	19	57.8	25.2	-52.95	-	D 1	D 1
Yunding C. (28)	1 - 12:49'4	Jiajun (23)	Pass	-	-	-	-	Pass	-	4	4	00:01'4	10.2	51	19.7	-53.94	-	D 1	D 1
Jiajun (23)	1 - 12:50'8	Yunding C. (28)	Pass	-	-	-	-	Reception	-	3.5	3.5	00:01'0	12.6	54.9	23.5	-53.15	-	D 1	D 1
Yunding C. (28)	1 - 12:51'8	Yunding C. (28)	Reception	-	-	-	-	Pass	-	0.6	0.6	00:00'6	3.5	54.6	20.8	-56.8	-	D 1	D 1
Yunding C. (28)	1 - 12:52'4	Jiajun (23)	Pass	-	-	-	-	Reception	-	3.3	3.3	00:00'6	20.1	55.1	21	-56.54	-	D 1	D 1
Jiajun (23)	1 - 12:53'0	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	0.3	0.3	00:00'8	1.4	54.9	22.1	-53.07	-	D 1	D 1
Jiajun (23)	1 - 12:53'8	Jiajun (23)	Running with ball	-	-	-	-	Pass	-	0.7	0.7	00:00'9	2.9	54.6	21.1	-52.96	-	D 1	D 1
Jiajun (23)	1 - 12:54'7	Yunding C. (28)	Pass	-	-	-	-	Reception	-	5.6	5.6	00:00'9	22.4	53.9	20	-52.68	-	D 1	D 1
Yunding C. (28)	1 - 12:55'6	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	2.1	2.1	00:00'8	9.3	57.8	21.1	-56.86	-	D 1	D 1
Yunding C. (28)	1 - 12:56'4	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	1.6	1.6	00:00'6	9.7	58.5	21	-58.78	-	D 1	D 1
