2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Ivo (29)	1 - 04:23'8	Ivo (29)	Running with ball	-	-	-	-	Running with ball	-	7.3	7.3	00:01'3	20.3	37.7	17.2	-44.68	-	B 4	B 4
Ivo (29)	1 - 04:25'1	Ivo (29)	Running with ball	-	-	-	-	Cross	-	2.8	2.8	00:00'8	12.4	36.4	19.6	-33.47	-	B 4	B 4
Ivo (29)	1 - 04:25'9	Shilin (37)	Cross	Gaining(37.Shi)	-	Left foot	-	Neutral contact	-	12.5	1.6	00:00'2	29.1	34.3	18.2	-30.68	-	B 4	B 4
Shilin (37)	1 - 04:26'1	-	Neutral contact	-	-	-	-	Out for throw-in	-	10.9	10.9	00:02'1	18.7	92.4	16.9	31.11	-	B 4	B 4
Lu Y. (27)	1 - 04:41'8	Karanga (37)	Pass	-	Throw-in	Two hands	-	Reception	-	16.3	16.3	00:01'5	39.1	43.6	24.4	-32.34	-	B 4	B 4
Karanga (37)	1 - 04:43'3	Karanga (37)	Reception	-	Ground duel	-	-	Running with ball	-	3.3	3.3	00:01'3	9.2	31.1	8.2	-48.78	-	B 4	B 4
Karanga (37)	1 - 04:44'6	-	Running with ball	-	Tackle	-	-	Out for throw-in	Indiv. loss of poss.	12.9	12.9	00:03'1	15	34.4	12.2	-48.53	-	B 4	B 4
Yunqiu (16)	1 - 04:53'6	Jiang S. (04)	Pass	-	Throw-in	Two hands	-	Reception	-	12.6	12.6	00:01'4	32.3	87.1	23.6	35.54	-	B 4	B 4
Jiang S. (04)	1 - 04:55'0	Jiang S. (04)	Reception	-	-	-	-	Running with ball	-	1.6	1.6	00:00'8	7	77.8	12	51.86	-	B 4	B 4
Jiang S. (04)	1 - 04:55'8	Jiang S. (04)	Running with ball	-	-	-	-	Pass	-	3.6	3.6	00:01'0	12.8	76.4	11.5	54.11	-	B 4	B 4
Jiang S. (04)	1 - 04:56'8	Zhu C. (05)	Pass	-	-	-	-	Reception	-	24.2	24.2	00:01'8	48.5	73.5	9.6	59.21	-	B 4	B 2
Zhu C. (05)	1 - 04:58'6	Zhu C. (05)	Reception	-	-	-	-	Pass	-	3.7	3.7	00:01'0	13.2	77.6	22.5	-84.37	-	B 2	B 2
Zhu C. (05)	1 - 04:59'6	Yunding C. (28)	Pass	-	-	-	-	Reception	-	29.8	29.8	00:01'7	63.1	74.4	20.8	-82.03	-	B 2	C 1
Yunding C. (28)	1 - 05:01'3	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	4.7	4.7	00:01'0	16.9	65.4	31.6	-57.66	-	C 1	C 1
Yunding C. (28)	1 - 05:02'3	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	6.5	6.5	00:01'1	21.4	62.1	29.8	-58.92	-	C 1	D 1
Yunding C. (28)	1 - 05:03'4	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	4.8	4.8	00:00'8	21.5	56.9	27.2	-56.39	-	D 1	D 1
Yunding C. (28)	1 - 05:04'2	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	6.7	6.7	00:01'0	24.2	52.5	24.2	-54.37	-	D 1	D 1
Yunding C. (28)	1 - 05:05'2	Moreno (10)	Pass	-	-	-	-	Reception	-	30.6	30.6	00:02'1	52.5	45.9	17.7	-55.48	-	D 1	F 2
Moreno (10)	1 - 05:07'3	-	Reception	-	Ground duel	-	-	Out for goal kick	Indiv. loss of poss.	20.2	20.2	00:03'5	20.8	16.8	17.2	-75.55	-	F 2	F 2
Yan Wu (17)	1 - 05:37'8	Karanga (37)	Pass	-	Goal kick	-	-	Pass	-	60.3	60.3	00:03'4	63.9	100.3	49.9	41.19	-	F 2	C 2
Karanga (37)	1 - 05:41'2	Zhong (30)	Pass	-	Air duel	Header	-	Pass	-	8.7	8.7	00:00'8	39.3	45.2	11.7	65.59	-	C 2	B 1
Zhong (30)	1 - 05:42'0	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	11.1	11.1	00:01'9	21.1	38.4	17.8	58.22	-	B 1	B 1
Bassogog C. (10)	1 - 05:43'9	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	1.4	1.4	00:00'3	17	34.8	23.1	41.62	-	B 1	B 1
Bassogog C. (10)	1 - 05:44'2	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	1.7	1.7	00:00'4	15.4	33.7	22.8	40.07	-	B 1	B 1
Bassogog C. (10)	1 - 05:44'6	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	2.8	2.8	00:00'6	17.1	32.2	21.9	38.58	-	B 1	B 1
Bassogog C. (10)	1 - 05:45'2	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	3.9	3.9	00:01'0	14.1	29.4	19.2	38.51	-	B 1	A 2
Bassogog C. (10)	1 - 05:46'2	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	2.9	2.9	00:01'0	10.4	25.5	15	39.43	-	A 2	A 2
Bassogog C. (10)	1 - 05:47'2	Bassogog C. (10)	Running with ball	-	-	-	-	Shot not on target	-	1.2	1.2	00:00'6	7.2	22.8	13.9	37.32	-	A 2	A 2
Bassogog C. (10)	1 - 05:47'8	-	Shot not on target	-	Tackle	Left foot	-	Out for goal kick	Indiv. loss of poss.	26.9	26.9	00:01'5	64.7	21.6	13.5	37.08	Out left (Low)	A 2	A 3
Shuai (27)	1 - 06:14'6	Shin Wook (20)	Pass	-	Goal kick	-	-	Pass	-	60.6	60.6	00:04'1	53.3	100.7	47.2	-46.33	-	A 2	D 3
Shin Wook (20)	1 - 06:18'7	Chen (25)	Pass	Gaining(25.Che)	-	Header	-	Neutral contact	Indiv. loss of poss.	51.5	14.9	00:01'6	33.6	41	14.7	82.58	-	D 3	E 2
Chen (25)	1 - 06:20'3	Karanga (37)	Neutral contact	-	Ground duel	-	-	Pass	Gaining neutral touch	36.5	36.5	00:02'5	52.6	75.1	18.5	80.2	-	E 2	C 3
Karanga (37)	1 - 06:22'8	Jinhao (03)	Pass	-	Air duel	Header	-	Reception	Indiv. loss of poss. - Coll. gain of poss.	13.2	13.2	00:02'3	20.6	43.2	19	-75.93	-	C 3	B 3
Jinhao (03)	1 - 06:25'1	Jinhao (03)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	1.6	1.6	00:00'8	7.4	72.7	21.4	87.34	-	B 3	B 3
